"Ultra low emission vehicles (ULEVs) [note 1] registered for the first time by body type [note 2] and fuel type, Great Britain and United Kingdom from January 2010",,,,,,,,,,,,,
Table VEH0171a,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [low] = a low figure but not a real zero.",,,,,,,,,,,,,
Geography [note 3],Date Interval [note 4],Date [note 4],Units,BodyType [note 2],Battery Electric,Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Range extended electric,Hybrid electric (petrol),Hybrid electric (diesel),Fuel cell electric,Other fuels,Total
England,Quarterly,2020 Q1 (January to March),Number,Cars,"16,436","11,920",369,10,1,0,11,0,"28,747"
England,Quarterly,2020 Q2 (April to June),Number,Cars,"11,623","4,666",275,5,0,0,6,0,"16,575"
England,Quarterly,2020 Q3 (July to September),Number,Cars,"31,727","18,649",774,0,0,0,7,2,"51,159"
England,Quarterly,2020 Q4 (October to December),Number,Cars,"37,273","20,134","1,304",1,1,1,34,1,"58,749"
England,Quarterly,2021 Q1 (January to March),Number,Cars,"28,416","21,350","1,092",2,2,0,1,0,"50,863"
England,Quarterly,2021 Q2 (April to June),Number,Cars,"38,655","26,897",876,0,0,0,5,0,"66,433"
England,Quarterly,2021 Q3 (July to September),Number,Cars,"46,547","24,488",600,0,2,1,1,0,"71,639"
England,Quarterly,2021 Q4 (October to December),Number,Cars,"60,030","22,715","1,191",0,2,0,5,0,"83,943"
England,Quarterly,2022 Q1 (January to March),Number,Cars,"58,277","24,521","1,048",1,0,0,4,0,"83,851"
England,Quarterly,2022 Q2 (April to June),Number,Cars,"46,266","17,588",540,4,6,0,0,0,"64,404"
England,Quarterly,2022 Q3 (July to September),Number,Cars,"54,446","18,902",427,8,42,0,3,0,"73,828"
England,Quarterly,2022 Q4 (October to December),Number,Cars,"83,713","23,585",80,3,48,0,1,0,"1,07,430"
